"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","146.105263157895",""
"20.5390004441142","153.25",""
"30.7870004558936","151.65",""
"41.0820003133267","138.631578947368",""
"51.3719999464229","150.315789473684",""
"61.6600004956126","122.1875",""
"71.9480004161596","135.210526315789",""
"82.2770004160702","151.555555555556",""
"92.5800003809854","157.789473684211",""
"102.872999897227","152.95",""
