"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"20.5589254","1.94758962315679",""
"30.8606422","1.84435438947317",""
"41.1567313","1.94248713235821",""
"51.4399981","1.94490836992095",""
"61.7349315","1.84556939691591",""
"72.0369969","1.74722343869958",""
"82.3516277","1.74509489937555",""
"92.6546127","1.74706752289799",""
"102.9438575","1.74940185763735",""
