"Vertical Axis: Avg. User Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","70.0816887450412",""
"20.5390004441142","67.8847820075816",""
"30.7870004558936","68.8394867073389",""
"41.0820003133267","70.9649598388126",""
"51.3719999464229","70.9678629039805",""
"61.6600004956126","74.6176437971876",""
"71.9480004161596","71.095771018972",""
"82.2770004160702","70.7597935662874",""
"92.5800003809854","64.1775845459507",""
"102.872999897227","68.6437928837281",""
