"Vertical Axis: Server Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","80.836857660743",""
"20.5390004441142","84.2473718148654",""
"30.7870004558936","84.4233677475736",""
"41.0820003133267","80.3389894883942",""
"51.3719999464229","80.3668143429456",""
"61.6600004956126","69.6379657332782",""
"71.9480004161596","80.3839747799857",""
"82.2770004160702","76.2126097131925",""
"92.5800003809854","77.6266785958338",""
"102.872999897227","84.0558539031501",""
