"Vertical Axis: Transferred Data [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.2896024","80.836857660743",""
"20.5587508","84.2473718148654",""
"30.8596995","84.4233677475736",""
"41.1566077","80.3389894883942",""
"51.4398494","80.3668143429456",""
"61.7348258","69.6379657332782",""
"72.036877","80.3839747799857",""
"82.3514957","76.2126097131925",""
"92.6541896","77.6266785958338",""
"102.9434372","84.0558539031501",""
