"Vertical Axis: Bandwidth [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.289596","80.836857660743",""
"20.5587476","84.2473718148654",""
"30.8596885","84.4233677475736",""
"41.1566042","80.3389894883942",""
"51.4398448","80.3668143429456",""
"61.7348224","69.6379657332782",""
"72.0368739","80.3839747799857",""
"82.3514923","76.2126097131925",""
"92.6541861","77.6266785958338",""
"102.9434289","84.0558539031501",""
