"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","146.789473684211",""
"20.5390004441142","153.85",""
"30.7870004558936","152.3",""
"41.0820003133267","141.842105263158",""
"51.3719999464229","151.578947368421",""
"61.6600004956126","123",""
"71.9480004161596","136.105263157895",""
"82.2770004160702","153",""
"92.5800003809854","166",""
"102.872999897227","155.55",""
