"Vertical Axis: Local CPU Load [%]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"4.1225637","54.3076611377885",""
"5.146126","54.1750433310223",""
"6.169049","51.063040833621",""
"7.1929058","48.200011577134",""
"8.2179917","46.6034558377009",""
"9.2415061","46.4306546396204",""
"10.2699818","46.3747867171072",""
"11.3133978","46.4443500505037",""
"12.3467883","45.9192696830484",""
"13.3718432","49.0182007584771",""
"14.4021404","48.3825956021776",""
"15.4240616","50.3528649553133",""
"16.4436217","49.8855043273661",""
"17.4705953","50.40067781334",""
"18.4960915","51.199404556447",""
"19.5183487","52.6238518577169",""
"20.5386318","51.8106294443217",""
"21.5799124","53.7158263909454",""
"22.6073557","52.7699185064309",""
"23.6281084","51.0474002065237",""
"24.6524565","50.2635072821073",""
"25.6766998","51.9038471241049",""
"26.7017528","51.2075731307393",""
"27.7221091","52.4718131496752",""
"28.7457882","51.6927425689703",""
"29.7664497","52.237632233784",""
"30.786227","53.5846265981828",""
"31.8809185","54.171831671197",""
"32.900817","54.5258963208098",""
"33.9239297","57.0178398121323",""
"34.9469165","58.1348920937543",""
"35.9664207","55.1639176472364",""
"36.9846762","53.465718709763",""
"38.0108938","52.8467969105369",""
"39.0349189","49.4287608501033",""
"40.0596289","47.5515615117867",""
"41.0815986","48.036710678843",""
"42.1770363","48.6413506714613",""
"43.1975688","48.2805561253324",""
"44.224714","49.5948651326123",""
"45.2459378","48.9279296729257",""
"46.2660905","48.7907184120393",""
"47.290492","48.6090102898182",""
"48.3105033","50.4971312639828",""
"49.329442","51.2993362301497",""
"50.3492001","53.6675968534072",""
"51.3725313","55.0703244090308",""
"52.4596771","54.5290756919122",""
"53.4814398","52.934072243645",""
"54.5032487","50.6485187525983",""
"55.524715","48.0714821877679",""
"56.5481844","45.770007274585",""
"57.5717945","45.3779172124831",""
"58.5912847","44.4253139960392",""
"59.6126959","45.8319449565504",""
"60.6383028","46.2139354332123",""
"61.6588868","47.6582759077043",""
"62.7566961","48.4405932414225",""
"63.7756583","49.0030637194838",""
"64.8000872","48.1765594108188",""
"65.8231842","48.5540866601692",""
"66.84229","45.9432525550215",""
"67.8633919","44.9596532107665",""
"68.882702","43.5633771602938",""
"69.9058863","43.5849944025161",""
"70.9242403","43.0326096616692",""
"71.9471049","44.8409096725194",""
"73.0661217","47.9182612898744",""
"74.0927127","48.6415192796049",""
"75.1150122","48.1781442698981",""
"76.136026","49.5724433016791",""
"77.1610245","48.1263465752176",""
"78.1836225","46.4241495133309",""
"79.2046806","46.6105787663304",""
"80.2284507","48.2052145307164",""
"81.253471","50.3059434943938",""
"82.2772364","54.5072090150872",""
"83.3813491","55.8859436976455",""
"84.4052453","58.0170438320828",""
"85.4298673","58.544440416692",""
"86.4508686","54.4892692166049",""
"87.4739839","50.0874484037442",""
"88.4945263","47.5077557391923",""
"89.5138218","45.9812923328454",""
"90.5330077","44.4368953648296",""
"91.5599277","46.4547661015373",""
"92.5805559","48.0293582970274",""
"93.6806912","48.5975245689383",""
"94.7028923","48.397518081717",""
"95.724448","48.7797986832313",""
"96.7462702","50.4498726455836",""
"97.7664223","52.8853673145587",""
"98.7887381","55.273900299239",""
"99.8101434","58.4647712434744",""
"100.8299418","56.927671418868",""
"101.8523214","53.8977050309916",""
"102.8723484","50.0926915725857",""
