"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","571.157894736842",""
"20.5390004441142","569.8",""
"30.7870004558936","576.35",""
"41.0820003133267","555.473684210526",""
"51.3719999464229","580.315789473684",""
"61.6600004956126","549.4375",""
"71.9480004161596","549.631578947368",""
"82.2770004160702","563.111111111111",""
"92.5800003809854","581.052631578947",""
"102.872999897227","568.25",""
