"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"72403.6688","0","CLICK User:15 Request:7"
"73373.9609","0","CLICK User:1 Request:8"
"73869.4941","0","CLICK User:13 Request:7"
"74865.7585","0","CLICK User:20 Request:7"
"74881.1692","0","CLICK User:4 Request:8"
"75257.646","0","CLICK User:5 Request:8"
"76594.3651","0","CLICK User:2 Request:8"
"77103.8002","0","CLICK User:3 Request:8"
"78798.5102","0","CLICK User:6 Request:8"
"79895.2128","0","CLICK User:8 Request:8"
"80809.4276","0","CLICK User:16 Request:8"
"81304.7085","0","CLICK User:17 Request:8"
"81388.1853","0","CLICK User:11 Request:8"
"81664.9195","0","CLICK User:12 Request:8"
"81827.2995","0","CLICK User:18 Request:8"
"82105.3688","0","CLICK User:7 Request:8"
"82247.0345","0","CLICK User:19 Request:8"
"82811.2976","0","CLICK User:14 Request:8"
"83131.9943","0","CLICK User:9 Request:8"
"83299.0939","0","CLICK User:15 Request:8"
"83611.3445","0","CLICK User:10 Request:8"
"83839.3793","0","CLICK User:1 Request:9"
"85150.2124","0","CLICK User:13 Request:8"
"85350.1719","0","CLICK User:4 Request:9"
"85727.095","0","CLICK User:5 Request:9"
"85752.4456","0","CLICK User:20 Request:8"
"87464.6658","0","CLICK User:2 Request:9"
"87969.8088","0","CLICK User:3 Request:9"
"89717.5987","0","CLICK User:6 Request:9"
"90798.3533","0","CLICK User:8 Request:9"
"91284.1137","0","CLICK User:16 Request:9"
"91761.9544","0","CLICK User:17 Request:9"
"92285.612","0","CLICK User:18 Request:9"
"92297.1354","0","CLICK User:11 Request:9"
"92522.6272","0","CLICK User:12 Request:9"
"92707.3769","0","CLICK User:19 Request:9"
"93403.5539","0","CLICK User:7 Request:9"
"93710.5556","0","CLICK User:14 Request:9"
"94181.8315","0","CLICK User:15 Request:9"
"94289.209","0","CLICK User:1 Request:10"
"94428.2475","0","CLICK User:9 Request:9"
"94900.8365","0","CLICK User:10 Request:9"
"95802.1556","0","CLICK User:4 Request:10"
"96174.8937","0","CLICK User:5 Request:10"
"96431.7508","0","CLICK User:13 Request:9"
"96634.321","0","CLICK User:20 Request:9"
"98322.8335","0","CLICK User:2 Request:10"
"98824.8262","0","CLICK User:3 Request:10"
"100605.8413","0","CLICK User:6 Request:10"
"101692.09","0","CLICK User:8 Request:10"
"101733.9632","0","CLICK User:16 Request:10"
"102212.7749","0","CLICK User:17 Request:10"
"102740.6035","0","CLICK User:18 Request:10"
"103158.3705","0","CLICK User:19 Request:10"
"103186.6649","0","CLICK User:11 Request:10"
"103381.8117","0","CLICK User:12 Request:10"
"104591.856","0","CLICK User:14 Request:10"
"104683.9463","0","CLICK User:7 Request:10"
"105065.8598","0","CLICK User:15 Request:10"
"105710.1133","0","CLICK User:9 Request:10"
"106184.0718","0","CLICK User:10 Request:10"
"107511.11","0","CLICK User:20 Request:10"
"107719.2207","0","CLICK User:13 Request:10"
