"Vertical Axis: Click Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","784.210526315789",""
"20.5390004441142","796",""
"30.7870004558936","788.15",""
"41.0820003133267","760.736842105263",""
"51.3719999464229","784.263157894737",""
"61.6600004956126","749.1875",""
"71.9480004161596","760.789473684211",""
"82.2770004160702","780.333333333333",""
"92.5800003809854","810.947368421053",""
"102.872999897227","784.7",""
